quote_id,option_symbol,expiry,kind,moneyness,scenario,rate,div,baseline_iv,iv,delta_iv_pp,status,reason,price_residual
0,SPX261016C00200000,2026-10-16,call,0.02619048900510831,rate_down_fixed_q,0.035485609342559954,0.02375885355200771,,,,ValueError,"price outside no-arbitrage bounds [7418.84253188075, 7618.129838909694]",
0,SPX261016C00200000,2026-10-16,call,0.02619048900510831,rate_up_fixed_q,0.040485609342559958,0.02375885355200771,,,,ValueError,"price outside no-arbitrage bounds [7418.942747539105, 7618.129838909694]",
0,SPX261016C00200000,2026-10-16,call,0.02619048900510831,rate_down_fixed_forward,0.035485609342559954,0.021258853552007712,,,,ValueError,"price outside no-arbitrage bounds [7420.758720043414, 7620.046027072357]",
0,SPX261016C00200000,2026-10-16,call,0.02619048900510831,rate_up_fixed_forward,0.040485609342559958,0.026258853552007709,,,,ValueError,"price outside no-arbitrage bounds [7417.02704123404, 7616.2141326046285]",
0,SPX261016C00200000,2026-10-16,call,0.02619048900510831,div_down,0.037985609342559956,0.018758853552007709,,,,ValueError,"price outside no-arbitrage bounds [7422.725504315072, 7621.962697213819]",
0,SPX261016C00200000,2026-10-16,call,0.02619048900510831,div_up,0.037985609342559956,0.028758853552007711,,3.3470157908034319,,converged,,0
0,SPX261016C00200000,2026-10-16,call,0.02619048900510831,external_div,0.037985609342559956,0.0106,,,,ValueError,"price outside no-arbitrage bounds [7428.983991377082, 7628.22118427583]",
0,SPX261016C00200000,2026-10-16,call,0.02619048900510831,parity_div_low,0.037985609342559956,0.021997478827629653,,,,ValueError,"price outside no-arbitrage bounds [7420.2426460109455, 7619.479838909693]",
0,SPX261016C00200000,2026-10-16,call,0.02619048900510831,parity_div_high,0.037985609342559956,0.025520540435231137,,,,ValueError,"price outside no-arbitrage bounds [7417.542646010946, 7616.779838909693]",
16,SPX261016C03000000,2026-10-16,call,0.39285733507662463,rate_down_fixed_q,0.035485609342559954,0.02375885355200771,,,,ValueError,"price outside no-arbitrage bounds [4628.820233475542, 7618.129838909694]",
16,SPX261016C03000000,2026-10-16,call,0.39285733507662463,rate_up_fixed_q,0.040485609342559958,0.02375885355200771,,,,ValueError,"price outside no-arbitrage bounds [4630.323468350856, 7618.129838909694]",
16,SPX261016C03000000,2026-10-16,call,0.39285733507662463,rate_down_fixed_forward,0.035485609342559954,0.021258853552007712,,,,ValueError,"price outside no-arbitrage bounds [4630.736421638207, 7620.046027072357]",
16,SPX261016C03000000,2026-10-16,call,0.39285733507662463,rate_up_fixed_forward,0.040485609342559958,0.026258853552007709,,,,ValueError,"price outside no-arbitrage bounds [4628.407762045791, 7616.2141326046285]",
16,SPX261016C03000000,2026-10-16,call,0.39285733507662463,div_down,0.037985609342559956,0.018758853552007709,,,,ValueError,"price outside no-arbitrage bounds [4633.404803732604, 7621.962697213819]",
16,SPX261016C03000000,2026-10-16,call,0.39285733507662463,div_up,0.037985609342559956,0.028758853552007711,,1.0874798898162705,,converged,,-9.0949470177292824e-13
16,SPX261016C03000000,2026-10-16,call,0.39285733507662463,external_div,0.037985609342559956,0.0106,,,,ValueError,"price outside no-arbitrage bounds [4639.663290794614, 7628.22118427583]",
16,SPX261016C03000000,2026-10-16,call,0.39285733507662463,parity_div_low,0.037985609342559956,0.021997478827629653,,,,ValueError,"price outside no-arbitrage bounds [4630.921945428478, 7619.479838909693]",
16,SPX261016C03000000,2026-10-16,call,0.39285733507662463,parity_div_high,0.037985609342559956,0.025520540435231137,,,,ValueError,"price outside no-arbitrage bounds [4628.221945428478, 7616.779838909693]",
18,SPX261016C03200000,2026-10-16,call,0.41904782408173297,rate_down_fixed_q,0.035485609342559954,0.02375885355200771,,,,ValueError,"price outside no-arbitrage bounds [4429.5329264466, 7618.129838909694]",
18,SPX261016C03200000,2026-10-16,call,0.41904782408173297,rate_up_fixed_q,0.040485609342559958,0.02375885355200771,,,,ValueError,"price outside no-arbitrage bounds [4431.1363769802665, 7618.129838909694]",
18,SPX261016C03200000,2026-10-16,call,0.41904782408173297,rate_down_fixed_forward,0.035485609342559954,0.021258853552007712,,,,ValueError,"price outside no-arbitrage bounds [4431.449114609262, 7620.046027072357]",
18,SPX261016C03200000,2026-10-16,call,0.41904782408173297,rate_up_fixed_forward,0.040485609342559958,0.026258853552007709,,,,ValueError,"price outside no-arbitrage bounds [4429.220670675202, 7616.2141326046285]",
18,SPX261016C03200000,2026-10-16,call,0.41904782408173297,div_down,0.037985609342559956,0.018758853552007709,,,,ValueError,"price outside no-arbitrage bounds [4434.167610833856, 7621.962697213819]",
18,SPX261016C03200000,2026-10-16,call,0.41904782408173297,div_up,0.037985609342559956,0.028758853552007711,,1.0275284344296889,,converged,,0
18,SPX261016C03200000,2026-10-16,call,0.41904782408173297,external_div,0.037985609342559956,0.0106,,,,ValueError,"price outside no-arbitrage bounds [4440.426097895866, 7628.22118427583]",
18,SPX261016C03200000,2026-10-16,call,0.41904782408173297,parity_div_low,0.037985609342559956,0.021997478827629653,,,,ValueError,"price outside no-arbitrage bounds [4431.68475252973, 7619.479838909693]",
18,SPX261016C03200000,2026-10-16,call,0.41904782408173297,parity_div_high,0.037985609342559956,0.025520540435231137,,,,ValueError,"price outside no-arbitrage bounds [4428.98475252973, 7616.779838909693]",
96,SPX261016C06000000,2026-10-16,call,0.78571467015324925,rate_down_fixed_q,0.035485609342559954,0.02375885355200771,0.35872064500917672,0.3739432986041602,1.5222653594983482,converged,,0
96,SPX261016C06000000,2026-10-16,call,0.78571467015324925,rate_up_fixed_q,0.040485609342559958,0.02375885355200771,0.35872064500917672,0.33958996292081201,-1.9130682088364714,converged,,0
96,SPX261016C06000000,2026-10-16,call,0.78571467015324925,rate_down_fixed_forward,0.035485609342559954,0.021258853552007712,0.35872064500917672,0.35385890015928606,-0.4861744849890659,converged,,2.7284841053187847e-12
96,SPX261016C06000000,2026-10-16,call,0.78571467015324925,rate_up_fixed_forward,0.040485609342559958,0.026258853552007709,0.35872064500917672,0.36330124808919934,0.45806030800226161,converged,,0
96,SPX261016C06000000,2026-10-16,call,0.78571467015324925,div_down,0.037985609342559956,0.018758853552007709,0.35872064500917672,0.28644700140231388,-7.2273643606862841,converged,,0
96,SPX261016C06000000,2026-10-16,call,0.78571467015324925,div_up,0.037985609342559956,0.028758853552007711,0.35872064500917672,0.39341859979920218,3.4697954790025465,converged,,0
96,SPX261016C06000000,2026-10-16,call,0.78571467015324925,external_div,0.037985609342559956,0.0106,0.35872064500917672,,,ValueError,"price outside no-arbitrage bounds [1651.1053973133985, 7628.22118427583]",
96,SPX261016C06000000,2026-10-16,call,0.78571467015324925,parity_div_low,0.037985609342559956,0.021997478827629653,0.35872064500917672,0.34173192336841668,-1.6988721640760041,converged,,0
96,SPX261016C06000000,2026-10-16,call,0.78571467015324925,parity_div_high,0.037985609342559956,0.025520540435231137,0.35872064500917672,0.37258893495981665,1.3868289950639934,converged,,-9.0949470177292824e-13
110,SPX261016C06200000,2026-10-16,call,0.81190515915835759,rate_down_fixed_q,0.035485609342559954,0.02375885355200771,0.32787629678749192,0.34023010617648181,1.2353809388989889,converged,,2.2737367544323206e-13
110,SPX261016C06200000,2026-10-16,call,0.81190515915835759,rate_up_fixed_q,0.040485609342559958,0.02375885355200771,0.32787629678749192,0.31310039514381038,-1.4775901643681533,converged,,-6.8212102632969618e-13
110,SPX261016C06200000,2026-10-16,call,0.81190515915835759,rate_down_fixed_forward,0.035485609342559954,0.021258853552007712,0.32787629678749192,0.32459598466980921,-0.32803121176827044,converged,,2.2737367544323206e-13
110,SPX261016C06200000,2026-10-16,call,0.81190515915835759,rate_up_fixed_forward,0.040485609342559958,0.026258853552007709,0.32787629678749192,0.33102905468888089,0.31527579013889695,converged,,2.2737367544323206e-13
110,SPX261016C06200000,2026-10-16,call,0.81190515915835759,div_down,0.037985609342559956,0.018758853552007709,0.32787629678749192,0.28218854614730821,-4.5687750640183715,converged,,1.1368683772161603e-12
110,SPX261016C06200000,2026-10-16,call,0.81190515915835759,div_up,0.037985609342559956,0.028758853552007711,0.32787629678749192,0.35579800678097195,2.7921709993480039,converged,,1.1368683772161603e-12
110,SPX261016C06200000,2026-10-16,call,0.81190515915835759,external_div,0.037985609342559956,0.0106,0.32787629678749192,,,ValueError,"price outside no-arbitrage bounds [1451.8682044146508, 7628.22118427583]",
110,SPX261016C06200000,2026-10-16,call,0.81190515915835759,parity_div_low,0.037985609342559956,0.021997478827629653,0.32787629678749192,0.31515681636338838,-1.2719480424103535,converged,,-6.8212102632969618e-13
110,SPX261016C06200000,2026-10-16,call,0.81190515915835759,parity_div_high,0.037985609342559956,0.025520540435231137,0.32787629678749192,0.33878175960484508,1.0905462817353162,converged,,2.2737367544323206e-13
116,SPX261016C06250000,2026-10-16,call,0.81845278140963462,rate_down_fixed_q,0.035485609342559954,0.02375885355200771,0.32090316829883059,0.33250438091480733,1.1601212615976741,converged,,-2.2737367544323206e-13
116,SPX261016C06250000,2026-10-16,call,0.81845278140963462,rate_up_fixed_q,0.040485609342559958,0.02375885355200771,0.32090316829883059,0.30721508381292634,-1.3688084485904251,converged,,6.8212102632969618e-13
116,SPX261016C06250000,2026-10-16,call,0.81845278140963462,rate_down_fixed_forward,0.035485609342559954,0.021258853552007712,0.32090316829883059,0.31796843847905371,-0.29347298197768823,converged,,-2.2737367544323206e-13
116,SPX261016C06250000,2026-10-16,call,0.81845278140963462,rate_up_fixed_forward,0.040485609342559958,0.026258853552007709,0.32090316829883059,0.32373680936732696,0.28336410684963731,converged,,-1.1368683772161603e-12
116,SPX261016C06250000,2026-10-16,call,0.81845278140963462,div_down,0.037985609342559956,0.018758853552007709,0.32090316829883059,0.28015717962694769,-4.0745988671882891,converged,,-2.2737367544323206e-13
116,SPX261016C06250000,2026-10-16,call,0.81845278140963462,div_up,0.037985609342559956,0.028758853552007711,0.32090316829883059,0.34709050385653861,2.6187335557708025,converged,,6.8212102632969618e-13
