case_id,group,instrument,kind,spot,strike,tau,rate,vol,div,method,settings,seed,steps,n_paths,n_samples,pilot_paths,total_paths,antithetic,control_variate,control_beta,variance_reduction,n_dates,average,reference,reference_price,price,error,abs_error,rel_error,se,ci_low,ci_high,ci_status,z_score,covered_95,criterion,outcome,expected,status,reason
eu-call-K80-T1-v0.1-r0.05-q0,european,european,call,100.0,80.0,1.0,0.05,0.1,0.0,crr,steps=1000,,1000,,,,,,,,,,,bsm_price,23.909977894038406,23.909965634776476,-1.2259261929159493e-05,1.2259261929159493e-05,-5.127257742976064e-07,,,,,,,tolerance,agree,agree,pass,
eu-call-K80-T1-v0.1-r0.05-q0,european,european,call,100.0,80.0,1.0,0.05,0.1,0.0,mc_plain,n_paths=65536,2934702957,,65536,65536,0,65536,False,False,0.0,1.0,,,bsm_price,23.909977894038406,23.901613494373734,-0.008364399664671396,0.008364399664671396,-0.0003498288330394874,0.039009732379631595,23.82515582386311,23.97807116488436,normal,-0.2144182785790849,True,z_score,agree,agree,pass,
eu-call-K80-T1-v0.1-r0.05-q0,european,european,call,100.0,80.0,1.0,0.05,0.1,0.0,mc_antithetic_control,n_paths=65536+4096 pilot; antithetic; control,1956228252,,65536,32768,4096,69632,True,True,1.062887261680289,2909.5005710850787,,,bsm_price,23.909977894038406,23.91105319484952,0.0010753008111130669,0.0010753008111130669,4.497289022509623e-05,0.0007045422383039287,23.909672317436854,23.912434072262183,normal,1.526240376590734,True,z_score,agree,agree,pass,
eu-call-K80-T1-v0.1-r0.01-q0.03,european,european,call,100.0,80.0,1.0,0.01,0.1,0.03,crr,steps=1000,,1000,,,,,,,,,,,bsm_price,17.908897650297973,17.90874134027919,-0.00015631001878446682,0.00015631001878446682,-8.728064777446873e-06,,,,,,,tolerance,agree,agree,pass,
eu-call-K80-T1-v0.1-r0.01-q0.03,european,european,call,100.0,80.0,1.0,0.01,0.1,0.03,mc_plain,n_paths=65536,4159358276,,65536,65536,0,65536,False,False,0.0,1.0,,,bsm_price,17.908897650297973,17.861500127960127,-0.047397522337846,0.047397522337846,-0.002646590720621902,0.037419474245241204,17.78815930611903,17.934840949801224,normal,-1.2666538826069622,True,z_score,agree,agree,pass,
eu-call-K80-T1-v0.1-r0.01-q0.03,european,european,call,100.0,80.0,1.0,0.01,0.1,0.03,mc_antithetic_control,n_paths=65536+4096 pilot; antithetic; control,327459981,,65536,32768,4096,69632,True,True,1.4465130382799314,568.1394002013044,,,bsm_price,17.908897650297973,17.907357442485484,-0.0015402078124893137,0.0015402078124893137,-8.600237951908153e-05,0.0015248858768022418,17.904368721086417,17.91034616388455,normal,-1.010047922877483,True,z_score,agree,agree,pass,
eu-call-K80-T1-v0.3-r0.05-q0,european,european,call,100.0,80.0,1.0,0.05,0.3,0.0,crr,steps=1000,,1000,,,,,,,,,,,bsm_price,26.46208570967179,26.46265506830802,0.0005693586362305325,0.0005693586362305325,2.151601511979209e-05,,,,,,,tolerance,agree,agree,pass,
eu-call-K80-T1-v0.3-r0.05-q0,european,european,call,100.0,80.0,1.0,0.05,0.3,0.0,mc_plain,n_paths=65536,1452833190,,65536,65536,0,65536,False,False,0.0,1.0,,,bsm_price,26.46208570967179,26.40568846959805,-0.05639724007373914,0.05639724007373914,-0.0021312469732167093,0.10898158449697924,26.19208848900586,26.61928845019024,normal,-0.5174933025065567,True,z_score,agree,agree,pass,
eu-call-K80-T1-v0.3-r0.05-q0,european,european,call,100.0,80.0,1.0,0.05,0.3,0.0,mc_antithetic_control,n_paths=65536+4096 pilot; antithetic; control,3144717356,,65536,32768,4096,69632,True,True,1.5935033273066506,294.68051545809124,,,bsm_price,26.46208570967179,26.47124131631186,0.009155606640071312,0.009155606640071312,0.00034598960718825627,0.0061235964121404,26.459239287888206,26.483243344735516,normal,1.495135541904716,True,z_score,agree,agree,pass,
eu-call-K80-T1-v0.3-r0.01-q0.03,european,european,call,100.0,80.0,1.0,0.01,0.3,0.03,crr,steps=1000,,1000,,,,,,,,,,,bsm_price,21.721633607501573,21.722123993212563,0.0004903857109894716,0.0004903857109894716,2.257591302065406e-05,,,,,,,tolerance,agree,agree,pass,
