kind,n_paths,n_seeds,first_seed,spot,strike,tau,rate,vol,div,reference,rms_error,mean_error,mean_se,fitted_slope
call,1024,128,1000,100.0,100.0,1.0,0.05,0.2,0.02,9.227005508154036,0.4114784203283806,-0.014588266190532884,0.43187726194577314,-0.49000693734654843
call,4096,128,1000,100.0,100.0,1.0,0.05,0.2,0.02,9.227005508154036,0.22268654193429735,-0.004394020007910213,0.21618505017511902,-0.49000693734654843
call,16384,128,1000,100.0,100.0,1.0,0.05,0.2,0.02,9.227005508154036,0.11295648781799929,0.0014502607111753635,0.10812928429793528,-0.49000693734654843
call,65536,128,1000,100.0,100.0,1.0,0.05,0.2,0.02,9.227005508154036,0.05360797709676028,-0.0006517038448414086,0.05403832967108618,-0.49000693734654843
put,1024,128,1000,100.0,100.0,1.0,0.05,0.2,0.02,6.330080627549918,0.2829572600442079,0.011439096352482143,0.2861637224228306,-0.4749539738642332
put,4096,128,1000,100.0,100.0,1.0,0.05,0.2,0.02,6.330080627549918,0.12178677930904427,0.01117552609155946,0.14336723711994093,-0.4749539738642332
put,16384,128,1000,100.0,100.0,1.0,0.05,0.2,0.02,6.330080627549918,0.07379162663815098,0.0013842581976155344,0.07160652381352692,-0.4749539738642332
put,65536,128,1000,100.0,100.0,1.0,0.05,0.2,0.02,6.330080627549918,0.03724625200724781,-0.003852395690468892,0.03578106440748241,-0.4749539738642332
