contract,kind,parity,steps,spot,strike,tau,rate,vol,div,reference,price,error,abs_error,fitted_order
atm,call,even,50,100.0,100.0,1.0,0.05,0.2,0.0,10.450583572185565,10.410691540732484,-0.03989203145308018,0.03989203145308018,0.9991685678863662
atm,call,even,100,100.0,100.0,1.0,0.05,0.2,0.0,10.450583572185565,10.4306116622497,-0.019971909935865284,0.019971909935865284,0.9991685678863662
atm,call,even,200,100.0,100.0,1.0,0.05,0.2,0.0,10.450583572185565,10.440591259859442,-0.009992312326122743,0.009992312326122743,0.9991685678863662
atm,call,even,400,100.0,100.0,1.0,0.05,0.2,0.0,10.450583572185565,10.445585841286523,-0.0049977308990420966,0.0049977308990420966,0.9991685678863662
atm,call,even,800,100.0,100.0,1.0,0.05,0.2,0.0,10.450583572185565,10.448084314881761,-0.002499257303803404,0.002499257303803404,0.9991685678863662
atm,call,odd,51,100.0,100.0,1.0,0.05,0.2,0.0,10.450583572185565,10.485018490058676,0.034434917873111814,0.034434917873111814,1.00065069429893
atm,call,odd,101,100.0,100.0,1.0,0.05,0.2,0.0,10.450583572185565,10.467954674844693,0.017371102659128113,0.017371102659128113,1.00065069429893
atm,call,odd,201,100.0,100.0,1.0,0.05,0.2,0.0,10.450583572185565,10.45930792851016,0.008724356324595561,0.008724356324595561,1.00065069429893
atm,call,odd,401,100.0,100.0,1.0,0.05,0.2,0.0,10.450583572185565,10.454955501113272,0.004371928927707103,0.004371928927707103,1.00065069429893
atm,call,odd,801,100.0,100.0,1.0,0.05,0.2,0.0,10.450583572185565,10.452771980546078,0.002188408360513705,0.002188408360513705,1.00065069429893
atm,put,even,50,100.0,100.0,1.0,0.05,0.2,0.0,5.573526022256971,5.533633990803909,-0.03989203145306153,0.03989203145306153,0.9991685678880325
atm,put,even,100,100.0,100.0,1.0,0.05,0.2,0.0,5.573526022256971,5.553554112321044,-0.01997190993592657,0.01997190993592657,0.9991685678880325
atm,put,even,200,100.0,100.0,1.0,0.05,0.2,0.0,5.573526022256971,5.5635337099307876,-0.00999231232618314,0.00999231232618314,0.9991685678880325
atm,put,even,400,100.0,100.0,1.0,0.05,0.2,0.0,5.573526022256971,5.568528291357844,-0.0049977308991264735,0.0049977308991264735,0.9991685678880325
atm,put,even,800,100.0,100.0,1.0,0.05,0.2,0.0,5.573526022256971,5.5710267649532,-0.0024992573037705412,0.0024992573037705412,0.9991685678880325
atm,put,odd,51,100.0,100.0,1.0,0.05,0.2,0.0,5.573526022256971,5.607960940130089,0.03443491787311803,0.03443491787311803,1.0006506942880398
atm,put,odd,101,100.0,100.0,1.0,0.05,0.2,0.0,5.573526022256971,5.590897124916097,0.017371102659126336,0.017371102659126336,1.0006506942880398
atm,put,odd,201,100.0,100.0,1.0,0.05,0.2,0.0,5.573526022256971,5.582250378581554,0.008724356324583127,0.008724356324583127,1.0006506942880398
atm,put,odd,401,100.0,100.0,1.0,0.05,0.2,0.0,5.573526022256971,5.577897951184594,0.004371928927623614,0.004371928927623614,1.0006506942880398
atm,put,odd,801,100.0,100.0,1.0,0.05,0.2,0.0,5.573526022256971,5.575714430617587,0.0021884083606167337,0.0021884083606167337,1.0006506942880398
off_strike,call,even,50,100.0,110.0,1.0,0.05,0.2,0.02,5.188581753780156,5.2114001389427855,0.022818385162629795,0.022818385162629795,
off_strike,call,even,100,100.0,110.0,1.0,0.05,0.2,0.02,5.188581753780156,5.202544363678213,0.013962609898057643,0.013962609898057643,
off_strike,call,even,200,100.0,110.0,1.0,0.05,0.2,0.02,5.188581753780156,5.195330349322653,0.006748595542497071,0.006748595542497071,
off_strike,call,even,400,100.0,110.0,1.0,0.05,0.2,0.02,5.188581753780156,5.189988269195812,0.0014065154156561732,0.0014065154156561732,
off_strike,call,even,800,100.0,110.0,1.0,0.05,0.2,0.02,5.188581753780156,5.189529536090802,0.0009477823106465166,0.0009477823106465166,
off_strike,call,odd,51,100.0,110.0,1.0,0.05,0.2,0.02,5.188581753780156,5.192911467399389,0.004329713619233289,0.004329713619233289,
